head_id,specialty,head_provider_id,head_name,head_email
1,General Practitioner,PRO00053,Angela Smith,angela.smith98@healthcare.org
2,Internist,PRO00083,Lisa Doyle,
3,Family Medicine Physician,PRO00150,Carl Mcclain,carl.mcclain52@healthcare.org
4,Cardiologist,PRO00263,Joseph Deleon,
5,Pulmonologist,PRO00327,Karen Davis,
6,Neurologist,PRO00405,Carl Martinez,
7,Orthopedic Surgeon,PRO00487,Dr. Anthony Martin,dr..martin88@healthcare.org
8,Gastroenterologist,PRO00619,Matthew Ruiz,
9,Nephrologist,PRO00691,Kathleen Crawford,
10,Oncologist,PRO00742,Sarah Burke,sarah.burke@healthcare.org
11,Pediatrician,PRO00840,Ms. Holly Kane,
12,Urologist,PRO01165,William Petersen,william.petersen@healthcare.org
13,Dermatologist,PRO01214,Sarah Henry,sarah.henry@healthcare.org
